flexor_digitorium_RMS_emg,extensor_digitorium_RMS_emg,biceps_RMS_emg,triceps_RMS_emg,extensor_digitorium_Peak_emg,triceps_Peak_emg,flexor_ave_acc_x,flexor_ave_acc_y,flexor_ave_acc_z,extensor_ave_acc_x,extensor_ave_acc_y,extensor_ave_acc_z,flexor_max_acc_y,extensor_max_acc_x,extensor_max_acc_y,extensor_max_acc_z,wrist_roll_peak,wrist_roll_min,wrist_roll_range,wrist_pitch_ave,wrist_pitch_peak,wrist_pitch_min,wrist_pitch_range,max_thumb_pos,max_index_pos,max_middle_pos,max_ring_pos,min_index_pos,min_middle_pos,min_ring_pos,range_thumb_pos,range_index_pos,range_ring_pos,target
6.642852e-06,1.342016e-05,6.505974e-06,5.984923e-06,0.000119162,2.805682e-05,-0.1501298,-0.1645228,-0.903741,-0.3085121,0.1700445,0.7007635,-0.1112601,-0.228224,0.2151356,0.7990783,60.48575,60.30371,0.1820412,-1.89836,-1.709958,-2.07525,0.3652917,10.56002,24.40806,41.86579,33.70031,14.37854,28.46888,20.7727,20.28985,10.02952,12.92761,1
5.948555e-06,1.013693e-05,9.475526e-06,8.556098e-06,0.0001338768,3.799062e-05,-0.7907131,0.06835173,-0.9101409,-0.3049027,0.1802929,0.8212854,0.09536581,-0.2283025,0.2298593,0.8761078,60.48575,60.30324,0.1825066,-2.48951,-2.38025,-2.624007,0.2437575,17.33651,31.60807,43.13638,50.18977,31.60807,43.13638,50.18977,0,0,0,1
3.709753e-06,1.881865e-05,5.357075e-06,1.271342e-05,0.0002343154,8.967508e-05,-0.214598,-0.1133611,-0.8951359,-0.3679687,0.1638325,0.9811149,-0.06366345,-0.2771292,0.2458692,1.17462,56.3965,54.8718,1.524704,-4.633095,-4.456789,-4.76075,0.3039603,20.72475,44.5681,55.84223,57.4039,30.48979,31.39295,42.72568,4.868491,14.07831,14.67822,1
4.930705e-06,6.993708e-06,7.729829e-06,6.934956e-06,5.730028e-05,5.663063e-05,-0.1709234,-0.1205953,-0.6554606,0.539902,0.08424973,0.2798238,-0.03180994,0.5705601,0.1536683,0.391705,39.1235,38.3302,0.7933044,-12.71939,-12.57344,-13.0005,0.4270582,15.07768,10.72803,-1.334115,19.27205,9.805958,-1.334115,19.27205,0,0.9220676,0,1
5.432283e-06,4.692056e-06,5.236705e-06,7.654166e-06,6.219151e-05,3.781879e-05,-0.2173613,0.1398441,-0.8513322,0.2158817,0.06005144,0.8014054,0.158943,0.2445258,0.07683413,0.8147464,18.49375,17.33463,1.159119,-6.394945,-6.225816,-6.53075,0.304934,19.59534,12.16803,5.018813,9.996729,12.16803,5.018813,9.996729,0,0,0,1
3.865866e-06,1.204523e-05,4.020457e-06,1.194229e-05,0.000325231,6.013485e-05,0.2764346,0.02128978,-0.7995574,-0.618778,0.08585048,0.917349,0.0317886,-0.6031635,0.1075678,0.9714285,60.42475,41.93845,18.4863,-3.930731,-2.4415,-9.519579,7.078079,3.783538,37.01481,49.17759,40.91445,35.92809,46.94813,39.88386,0.8523366,1.086727,1.03059,1
3.531226e-06,7.853017e-05,4.394797e-06,7.868354e-06,0.0006715992,4.085371e-05,-0.5121658,-0.06811032,-0.9072804,0.05487401,0.08417143,0.1357008,-0.01684647,0.1304137,0.1229346,0.1880184,60.48489,60.30275,0.1821442,-1.37461,-1.22075,-1.463907,0.2431575,10.56002,27.28806,27.88935,32.66972,22.28929,19.04377,28.58671,2.258828,4.998772,4.08301,1
1.174721e-05,4.669158e-05,3.983206e-06,1.564774e-05,0.0009615198,8.02127e-05,-0.002065629,0.03063018,-0.9057695,-0.3310554,0.1933285,0.3213241,0.06338777,-0.3097326,0.26085,0.3447005,60.48427,60.30423,0.1800346,-1.655588,-1.34275,-1.953,0.61025,0.3952951,10.00802,3.748227,25.45559,3.069973,0.3987622,22.73879,25.39417,6.93805,2.716801,1
4.196357e-06,7.039784e-06,4.169771e-06,8.326881e-06,4.848482e-05,4.354559e-05,0.0478218,0.04102528,-0.9199404,-0.03373305,0.2208973,0.2755857,0.09482446,-0.01630172,0.2609743,0.391705,60.48575,60.30275,0.1829987,-5.658725,-5.55425,-5.797341,0.2430911,16.2071,31.60807,36.78345,54.31213,24.15854,24.63111,37.46553,8.591766,7.449533,16.8466,1
3.863681e-06,1.41416e-05,7.254458e-06,1.86619e-05,9.875981e-05,0.0001561794,0.1353822,0.02141814,-0.5713243,0.6299081,0.2526214,0.326205,0.06350069,0.684088,0.2796555,0.4261023,51.45275,50.23326,1.219486,-9.994043,-9.82675,-10.19275,0.3660002,11.68944,22.24805,29.15994,33.70031,12.42609,19.45065,26.69726,27.83055,9.821961,7.003057,1
